make,name,model URL,number for sale,modified URL,pages
audi,80,/used-cars/audi/80,1,https://www.carzone.ie/used-cars/audi/80?make=audi&model=80&size=30,1
audi,A1,/used-cars/audi/a1,229,https://www.carzone.ie/used-cars/audi/a1?make=audi&model=A1&size=30,8
audi,A1 Sportback,/used-cars/audi/a1-sportback,4,https://www.carzone.ie/used-cars/audi/a1-sportback?make=audi&model=A1%20Sportback&size=30,1
audi,A3,/used-cars/audi/a3,829,https://www.carzone.ie/used-cars/audi/a3?make=audi&model=A3&size=30,28
audi,A3 Saloon,/used-cars/audi/a3-saloon,23,https://www.carzone.ie/used-cars/audi/a3-saloon?make=audi&model=A3%20Saloon&size=30,1
audi,A3 Sportback,/used-cars/audi/a3-sportback,16,https://www.carzone.ie/used-cars/audi/a3-sportback?make=audi&model=A3%20Sportback&size=30,1
audi,A4,/used-cars/audi/a4,364,https://www.carzone.ie/used-cars/audi/a4?make=audi&model=A4&size=30,13
audi,A5,/used-cars/audi/a5,261,https://www.carzone.ie/used-cars/audi/a5?make=audi&model=A5&size=30,9
audi,A5 Sportback,/used-cars/audi/a5-sportback,10,https://www.carzone.ie/used-cars/audi/a5-sportback?make=audi&model=A5%20Sportback&size=30,1
audi,A6,/used-cars/audi/a6,574,https://www.carzone.ie/used-cars/audi/a6?make=audi&model=A6&size=30,20
audi,A7,/used-cars/audi/a7,80,https://www.carzone.ie/used-cars/audi/a7?make=audi&model=A7&size=30,3
audi,A8,/used-cars/audi/a8,23,https://www.carzone.ie/used-cars/audi/a8?make=audi&model=A8&size=30,1
audi,Allroad,/used-cars/audi/allroad,1,https://www.carzone.ie/used-cars/audi/allroad?make=audi&model=Allroad&size=30,1
audi,e-tron,/used-cars/audi/e-tron,120,https://www.carzone.ie/used-cars/audi/e-tron?make=audi&model=e-tron&size=30,4
audi,e-tron GT quattro,/used-cars/audi/e-tron-gt-quattro,27,https://www.carzone.ie/used-cars/audi/e-tron-gt-quattro?make=audi&model=e-tron%20GT%20quattro&size=30,1
audi,Q2,/used-cars/audi/q2,192,https://www.carzone.ie/used-cars/audi/q2?make=audi&model=Q2&size=30,7
audi,Q3,/used-cars/audi/q3,217,https://www.carzone.ie/used-cars/audi/q3?make=audi&model=Q3&size=30,8
audi,Q4 e-tron,/used-cars/audi/q4-e-tron,115,https://www.carzone.ie/used-cars/audi/q4-e-tron?make=audi&model=Q4%20e-tron&size=30,4
audi,Q5,/used-cars/audi/q5,212,https://www.carzone.ie/used-cars/audi/q5?make=audi&model=Q5&size=30,8
audi,Q6 E-TRON,/used-cars/audi/q6-e-tron,24,https://www.carzone.ie/used-cars/audi/q6-e-tron?make=audi&model=Q6%20E-TRON&size=30,1
audi,Q7,/used-cars/audi/q7,170,https://www.carzone.ie/used-cars/audi/q7?make=audi&model=Q7&size=30,6
audi,Q8,/used-cars/audi/q8,49,https://www.carzone.ie/used-cars/audi/q8?make=audi&model=Q8&size=30,2
audi,Q8 e-tron,/used-cars/audi/q8-e-tron,7,https://www.carzone.ie/used-cars/audi/q8-e-tron?make=audi&model=Q8%20e-tron&size=30,1
audi,R8,/used-cars/audi/r8,2,https://www.carzone.ie/used-cars/audi/r8?make=audi&model=R8&size=30,1
audi,RS Q3,/used-cars/audi/rs-q3,1,https://www.carzone.ie/used-cars/audi/rs-q3?make=audi&model=RS%20Q3&size=30,1
audi,RS3,/used-cars/audi/rs3,2,https://www.carzone.ie/used-cars/audi/rs3?make=audi&model=RS3&size=30,1
audi,RS4,/used-cars/audi/rs4,2,https://www.carzone.ie/used-cars/audi/rs4?make=audi&model=RS4&size=30,1
audi,RS5,/used-cars/audi/rs5,1,https://www.carzone.ie/used-cars/audi/rs5?make=audi&model=RS5&size=30,1
audi,RS6,/used-cars/audi/rs6,4,https://www.carzone.ie/used-cars/audi/rs6?make=audi&model=RS6&size=30,1
audi,RSQ8,/used-cars/audi/rsq8,1,https://www.carzone.ie/used-cars/audi/rsq8?make=audi&model=RSQ8&size=30,1
audi,S1,/used-cars/audi/s1,4,https://www.carzone.ie/used-cars/audi/s1?make=audi&model=S1&size=30,1
audi,S3,/used-cars/audi/s3,66,https://www.carzone.ie/used-cars/audi/s3?make=audi&model=S3&size=30,3
audi,S4,/used-cars/audi/s4,5,https://www.carzone.ie/used-cars/audi/s4?make=audi&model=S4&size=30,1
audi,S5,/used-cars/audi/s5,4,https://www.carzone.ie/used-cars/audi/s5?make=audi&model=S5&size=30,1
audi,S6,/used-cars/audi/s6,4,https://www.carzone.ie/used-cars/audi/s6?make=audi&model=S6&size=30,1
audi,S7,/used-cars/audi/s7,3,https://www.carzone.ie/used-cars/audi/s7?make=audi&model=S7&size=30,1
audi,S8,/used-cars/audi/s8,2,https://www.carzone.ie/used-cars/audi/s8?make=audi&model=S8&size=30,1
audi,SQ5,/used-cars/audi/sq5,9,https://www.carzone.ie/used-cars/audi/sq5?make=audi&model=SQ5&size=30,1
audi,SQ7,/used-cars/audi/sq7,3,https://www.carzone.ie/used-cars/audi/sq7?make=audi&model=SQ7&size=30,1
audi,TT,/used-cars/audi/tt,29,https://www.carzone.ie/used-cars/audi/tt?make=audi&model=TT&size=30,1
audi,TTS,/used-cars/audi/tts,2,https://www.carzone.ie/used-cars/audi/tts?make=audi&model=TTS&size=30,1
bmw,1 Series,/used-cars/bmw/1-series,335,https://www.carzone.ie/used-cars/bmw/1-series?make=bmw&model=1%20Series&size=30,12
bmw,2 Series,/used-cars/bmw/2-series,203,https://www.carzone.ie/used-cars/bmw/2-series?make=bmw&model=2%20Series&size=30,7
bmw,2 Series Active Tourer,/used-cars/bmw/2-series-active-tourer,19,https://www.carzone.ie/used-cars/bmw/2-series-active-tourer?make=bmw&model=2%20Series%20Active%20Tourer&size=30,1
bmw,2 Series Gran Tourer,/used-cars/bmw/2-series-gran-tourer,27,https://www.carzone.ie/used-cars/bmw/2-series-gran-tourer?make=bmw&model=2%20Series%20Gran%20Tourer&size=30,1
bmw,3 Series,/used-cars/bmw/3-series,661,https://www.carzone.ie/used-cars/bmw/3-series?make=bmw&model=3%20Series&size=30,23
bmw,4 Series,/used-cars/bmw/4-series,228,https://www.carzone.ie/used-cars/bmw/4-series?make=bmw&model=4%20Series&size=30,8
bmw,5 Series,/used-cars/bmw/5-series,1095,https://www.carzone.ie/used-cars/bmw/5-series?make=bmw&model=5%20Series&size=30,37
bmw,6 Series,/used-cars/bmw/6-series,60,https://www.carzone.ie/used-cars/bmw/6-series?make=bmw&model=6%20Series&size=30,2
bmw,7 Series,/used-cars/bmw/7-series,93,https://www.carzone.ie/used-cars/bmw/7-series?make=bmw&model=7%20Series&size=30,4
bmw,8 Series,/used-cars/bmw/8-series,14,https://www.carzone.ie/used-cars/bmw/8-series?make=bmw&model=8%20Series&size=30,1
bmw,i3,/used-cars/bmw/i3,18,https://www.carzone.ie/used-cars/bmw/i3?make=bmw&model=i3&size=30,1
bmw,i4,/used-cars/bmw/i4,81,https://www.carzone.ie/used-cars/bmw/i4?make=bmw&model=i4&size=30,3
bmw,i5,/used-cars/bmw/i5,42,https://www.carzone.ie/used-cars/bmw/i5?make=bmw&model=i5&size=30,2
bmw,i7,/used-cars/bmw/i7,14,https://www.carzone.ie/used-cars/bmw/i7?make=bmw&model=i7&size=30,1
bmw,i8,/used-cars/bmw/i8,7,https://www.carzone.ie/used-cars/bmw/i8?make=bmw&model=i8&size=30,1
bmw,iX,/used-cars/bmw/ix,29,https://www.carzone.ie/used-cars/bmw/ix?make=bmw&model=iX&size=30,1
bmw,iX1,/used-cars/bmw/ix1,56,https://www.carzone.ie/used-cars/bmw/ix1?make=bmw&model=iX1&size=30,2
bmw,iX2,/used-cars/bmw/ix2,7,https://www.carzone.ie/used-cars/bmw/ix2?make=bmw&model=iX2&size=30,1
bmw,iX3,/used-cars/bmw/ix3,43,https://www.carzone.ie/used-cars/bmw/ix3?make=bmw&model=iX3&size=30,2
bmw,M2,/used-cars/bmw/m2,9,https://www.carzone.ie/used-cars/bmw/m2?make=bmw&model=M2&size=30,1
bmw,M235i,/used-cars/bmw/m235i,1,https://www.carzone.ie/used-cars/bmw/m235i?make=bmw&model=M235i&size=30,1
bmw,M240i,/used-cars/bmw/m240i,1,https://www.carzone.ie/used-cars/bmw/m240i?make=bmw&model=M240i&size=30,1
bmw,M3,/used-cars/bmw/m3,13,https://www.carzone.ie/used-cars/bmw/m3?make=bmw&model=M3&size=30,1
bmw,M4,/used-cars/bmw/m4,11,https://www.carzone.ie/used-cars/bmw/m4?make=bmw&model=M4&size=30,1
bmw,M5,/used-cars/bmw/m5,10,https://www.carzone.ie/used-cars/bmw/m5?make=bmw&model=M5&size=30,1
bmw,M6,/used-cars/bmw/m6,1,https://www.carzone.ie/used-cars/bmw/m6?make=bmw&model=M6&size=30,1
